,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
0,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264,654,https://www.practo.com/delhi/hospital/sir-ganga-ram-hospital-delhi-old-rajendra-nagar-1
1,Max Super Speciality Hospital,"Saket, Delhi",259,250,https://www.practo.com/delhi/hospital/max-smart-super-specialty-hospital-saket-2
2,Bombay Hospital & Medical Research Centre,"Marine Lines, Mumbai",224,900,https://www.practo.com/mumbai/hospital/bombay-hospital-medical-research-centre-marine-lines
3,Bhatia  Hospital,"Tardeo, Mumbai",205,209,https://www.practo.com/mumbai/hospital/bhatia-hospital-grant-road-1-666080
4,Apollo Hospital,"Greams Road, Chennai",203,560,https://www.practo.com/chennai/hospital/apollo-hospitals-greams-road-3
5,Apollo Hospitals,"Jubilee Hills, Hyderabad",175,550,https://www.practo.com/hyderabad/hospital/apollo-hospitals-18-jubilee-hills
6,Manipal Hospital,"Old Airport Road, Bangalore",173,100,https://www.practo.com/bangalore/hospital/manipal-hospital-old-airport-road-1-630200
7,Saifee Hospital,"Charni Road, Mumbai",170,256,https://www.practo.com/mumbai/hospital/saifee-hospital-charni-road-2
8,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163,1000,https://www.practo.com/hyderabad/hospital/krishna-institute-of-medical-sciences-kims-secunderabad
9,S L Raheja Fortis Hospital,"Mahim, Mumbai",158,140,https://www.practo.com/mumbai/hospital/s-l-raheja-hospitals-mahim-1
10,St.Isabel's Hospital,"Mylapore, Chennai",142,300,https://www.practo.com/chennai/hospital/st-isabel-s-hospital-mylapore
11,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135,300,https://www.practo.com/delhi/hospital/max-super-speciality-hospital-shalimar-bagh-1
12,Continental Hospitals,"Gachibowli, Hyderabad",133,750,https://www.practo.com/hyderabad/hospital/continental-hospital-gachibowli-1-663465
13,Ruby Hall Clinic,"Dhole Patil Road, Pune",132,550,https://www.practo.com/pune/hospital/ruby-hall-clinic-dhole-patil-road-1
14,Care Hospitals,"Banjara Hills, Hyderabad",125,200,https://www.practo.com/hyderabad/hospital/care-hospital-banjara-hills-banjara-hills
15,Masina Hospital ,"Byculla, Mumbai",121,232,https://www.practo.com/mumbai/hospital/masina-hospital-byculla-1
16,Blk Super Speciality Hospital,"Pusa Road, Delhi",120,650,https://www.practo.com/delhi/hospital/blk-hospital-pusa-road
17,Fortis Hospital,"Mulund West, Mumbai",117,261,https://www.practo.com/mumbai/hospital/fortis-hospitals-limited-mulund-west
18,Sri Balaji Action Medical Institute,"Paschim Vihar, Delhi",114,150,https://www.practo.com/delhi/hospital/sri-balaji-action-medical-institute-action-cancer-hospital-paschim-vihar
19,Godrej Memorial Hospital,"Vikhroli, Mumbai",105,110,https://www.practo.com/mumbai/hospital/godrej-memorial-hospital-vikhroli
20,Max Hospital,"Pitampura, Delhi",101,120,https://www.practo.com/delhi/hospital/max-hospital-pitampura
21,Max Smart Super Speciality Hospital,"Saket, Delhi",97,500,https://www.practo.com/delhi/hospital/max-smart-super-speciality-hospital-saket
22,St Stephens Hospital,"Tis Hazari, Delhi",93,600,https://www.practo.com/delhi/hospital/st-stephens-hospital-tis-hazari
23,Fortis Hospital,"Vasant Kunj, Delhi",89,200,https://www.practo.com/delhi/hospital/fortis-flt-lt-rajan-dhall-hospital-vasant-kunj-1
24,Apollo Hospital,"Bannerghatta Road, Bangalore",84,295,https://www.practo.com/bangalore/hospital/apollo-hospital-bannerghatta-road-5
25,Global Hospital,"Perumbakkam, Chennai",75,1000,https://www.practo.com/chennai/hospital/global-health-city-perumbakkam1
26,Sanjeevan Hospital,"Darya Ganj, Delhi",73,100,https://www.practo.com/delhi/hospital/sanjeevan-speciality-hospital-pahar-ganj
27,Fortis Malar Hospital,"Adyar, Chennai",68,500,https://www.practo.com/chennai/hospital/dr-t-k-neelamekam-vadapalani
28,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66,210,https://www.practo.com/delhi/hospital/mata-chanan-devi-hospital-janak-puri
29,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65,700,https://www.practo.com/pune/hospital/deenanath-mangeshkar-hospital-erandwane-1
30,Kamineni Hospitals,"LB Nagar, Hyderabad",65,350,https://www.practo.com/hyderabad/hospital/kamineni-hospitals-lb-nagar
31,BSES MG Hospital,"Andheri West, Mumbai",65,100,https://www.practo.com/mumbai/hospital/bses-mg-hospital-andheriwest-1-649193
32,Hindustan Health Point,"Garia, Kolkata",64,100,https://www.practo.com/kolkata/hospital/hindustan-health-point-garia-bt-2
33,Noble Hospital,"Hadapsar, Pune",61,341,https://www.practo.com/pune/hospital/noble-hospital-hadapsar-1-1
34,Kamakshi Memorial Hospital,"Pallikaranai, Chennai",61,300,https://www.practo.com/chennai/hospital/dr-kamakshi-memorial-hospital-4-pallikaranai-1
35,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58,495,https://www.practo.com/delhi/hospital/batra-hospital-and-medical-research-center-delhi-tuglakabad
36,Columbia Asia Hospital,"Whitefield, Bangalore",58,150,https://www.practo.com/bangalore/hospital/columbia-asia-hospital1-whitefield
37,St. Philomena's Hospital,"Viveknagar, Bangalore",55,400,https://www.practo.com/bangalore/hospital/st-philomenas-hospital-viveknagar
38,Fortis Escorts,"Okhla, Delhi",53,310,https://www.practo.com/delhi/hospital/fortis-escorts-heart-institute-okhla-2
39,Fortis Hospital,"Shalimar Bagh, Delhi",51,282,https://www.practo.com/delhi/hospital/fortis-hospital-5-shalimar-bagh
40,Jaipur Golden Hospital,"Rohini, Delhi",51,250,https://www.practo.com/delhi/hospital/jaipur-golden-hospital-rohini
41,People Tree Hospitals,"Yeshwanthpur, Bangalore",51,200,https://www.practo.com/bangalore/hospital/people-tree-hospitals-yeshwanthpur-1
42,Yashoda Hospital,"Secunderabad, Hyderabad",51,500,https://www.practo.com/hyderabad/hospital/yashoda-hospital-19-secunderabad-1
43,Hindu Mission Hospital,"Tambaram West, Chennai",50,220,https://www.practo.com/chennai/hospital/hindu-mission-hospital-tambaram-tambaram-west
44,Mallige Medical Centre,"Kumara Park West, Bangalore",48,150,https://www.practo.com/bangalore/hospital/mallige-medical-centre-gandhinagar-1
45,Sir H.N. Reliance Foundation Hospital & Research Centre,"Girgaon, Mumbai",48,345,https://www.practo.com/mumbai/hospital/sir-hn-reliance-foundation-hospital-girgaon-2
46,Star Hospitals,"Banjara Hills, Hyderabad",46,136,https://www.practo.com/hyderabad/hospital/star-hospitals-banjara-hills-3
47,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45,500,https://www.practo.com/bangalore/hospital/jain-hospital-vasanthnagar
48,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",43,100,https://www.practo.com/chennai/hospital/abhijay-hospital-perambur-1
49,Billroth Hospitals,"Shenoy Nagar, Chennai",42,600,https://www.practo.com/chennai/hospital/billroth-hospitals-raja-annamalai-puram1
50,Sakra World Hospital,"Bellandur, Bangalore",41,300,https://www.practo.com/bangalore/hospital/sakra-world-hospital-10-bellandur
51,Criti Care Multi Speciality Hospital & Research Centre,"Andheri West, Mumbai",39,100,https://www.practo.com/mumbai/hospital/criticare-multi-speciality-hospital-research-centre-andheri-west
52,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",37,110,https://www.practo.com/pune/hospital/joshi-hospital-deccan-gymkhana
53,Guru Nanak Hospital,"Bandra East, Mumbai",37,120,https://www.practo.com/mumbai/hospital/guru-nanak-hospital-bandra-east
54,Venkateshwar Hospital,"Dwarka, Delhi",35,325,https://www.practo.com/delhi/hospital/venkateshwar-hospital-dwarka
55,Rockland Hospital,"Qutab Institutional Area, Delhi",35,301,https://www.practo.com/delhi/hospital/rockland-hospital-qutab-institutional-area-2
56,Cytecare Cancer Hospitals,"Yelahanka, Bangalore",35,150,https://www.practo.com/bangalore/hospital/cytecare-cancer-hospitals-yelahanka
57,Sancheti Hospital,"Shivaji Nagar, Pune",35,200,https://www.practo.com/pune/hospital/sancheti-hospital-shivaji-nagar
58,Inamdar Multispeciality Hospital,"Fatima Nagar, Pune",35,120,https://www.practo.com/pune/hospital/inamdar-multispeciality-hospital-fatima-nagar-fatima-nagar
59,Induss Hospital,"Dilsukhnagar, Hyderabad",35,100,https://www.practo.com/hyderabad/hospital/induss-hospital-dilsukh-nagar
60,Medwin Hospitals,"Nampally, Hyderabad",34,200,https://www.practo.com/hyderabad/hospital/medwin-hospitals-nampally-1-644441
61,Rockland Hospital,"Dwarka, Delhi",33,100,https://www.practo.com/delhi/hospital/rockland-hospital-dwarka-2
62,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33,200,https://www.practo.com/pune/hospital/sahyadri-hospital-deccan-gymkhana-1
63,Aditya Birla Memorial Hospital,"Chinchwad, Pune",33,500,https://www.practo.com/pune/hospital/aditya-birla-memorial-hospital-chinchwad-1
64,Sri Sri Holistic Hospitals,"Nizampet, Hyderabad",33,100,https://www.practo.com/hyderabad/hospital/sri-sri-holistic-hospitals-1-kukatpally
65,Cloudnine Hospital,"T Nagar, Chennai",33,150,https://www.practo.com/chennai/hospital/cloud-nine-hospital-tnagar
66,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32,100,https://www.practo.com/delhi/hospital/indraprastha-apollo-hospital-2-sarita-vihar
67,KIMS Hospital,"Kondapur, Hyderabad",32,150,https://www.practo.com/hyderabad/hospital/kims-hospitals-kondapur-1
68,Aditya Hospital,"Uppal, Hyderabad",32,200,https://www.practo.com/hyderabad/hospital/aditya-hospitals-uppal-karkhana
69,Manipal Hospital,"Vidhyadhar Nagar, Jaipur",32,251,https://www.practo.com/jaipur/hospital/manipal-hospital-jaipur-vidhyadhar-nagar
70,Holy Spirit Hospital,"Andheri East, Mumbai",32,300,https://www.practo.com/mumbai/hospital/holy-spirit-hospital-andheri-east-1
71,Dr. Jivraj Mehta Smarak Health Foundation,"Vasna, Ahmedabad",31,220,https://www.practo.com/ahmedabad/hospital/dr-jivraj-mehta-smarak-health-foundation-vasna
72,Madras Medical Mission Hospital,"Mogappair, Chennai",31,100,https://www.practo.com/chennai/hospital/madras-medical-mission-hospital-mogappair-west
73,Sagar Hospital,"Jayanagar, Bangalore",30,200,https://www.practo.com/bangalore/hospital/sagar-hospital-tilaknagar-tilaknagar
74,Bangalore Institute of Gastroenterology,"Jayanagar, Bangalore",30,100,https://www.practo.com/bangalore/hospital/big-hospital-1-jayanagar
75,MaxCure Hospitals,"Madhapur, Hyderabad",30,220,https://www.practo.com/hyderabad/hospital/maxcure-hospitals-madhapur-2
76,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29,1348,https://www.practo.com/bangalore/hospital/st-john-s-medical-college-and-hospital-sarjapur-road
77,Kailash Deepak Memorial Hospital,"Karkardooma, Delhi",28,300,https://www.practo.com/delhi/hospital/deepak-memorial-hospital-medical-research-centre-vikas-nagar
78,Tirath Ram Shah Hospital,"Civil Lines, Delhi",28,200,https://www.practo.com/delhi/hospital/tirath-ram-shah-hospital-civil-lines
79,Kailash Hospital,"Sector 27, Noida",27,325,https://www.practo.com/noida/hospital/kailash-hospital-sector-27
80,MGS Super Speciality Hospital,"Punjabi Bagh, Delhi",27,100,https://www.practo.com/delhi/hospital/mgs-hospital-punjabi-bagh
81,BGS Global Hospital,"Kengeri, Bangalore",27,100,https://www.practo.com/bangalore/hospital/bgs-global-hospital-bangalore-kengeri
82,Sahyadri Speciality Hospital,"Nagar Road, Pune",27,140,https://www.practo.com/pune/hospital/sahyadri-speciality-hospital-nagar-road-1
83,Challa Hospitals,"Ameerpet, Hyderabad",27,100,https://www.practo.com/hyderabad/hospital/challa-hospital-ameerpet-2
84,Apollo Medical Center,"Karapakkam, Chennai",27,100,https://www.practo.com/chennai/hospital/apollo-medical-center-karapakkam-1
85,Jaslok Hospital,"Peddar Road, Mumbai",27,364,https://www.practo.com/mumbai/hospital/jaslok-hospital-peddar-road
86,Primus Super Speciality Hospital,"Chanakyapuri, Delhi",26,150,https://www.practo.com/delhi/hospital/primus-superspeciality-hospital-chanakyapuri
87,BBR Super Speciality Hospital,"Balanagar, Hyderabad",26,175,https://www.practo.com/hyderabad/hospital/bbr-hospital-balanagar-1
88,Metro Multispeciality Hospital,"Sector 11, Noida",25,207,https://www.practo.com/noida/hospital/metro-hospital-heart-institute-sector-11
89,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",25,155,https://www.practo.com/delhi/hospital/metro-hospital-cancer-institute-preet-vihar
90,Brookefield Hospital,"Kundalahalli, Bangalore",25,100,https://www.practo.com/bangalore/hospital/brookefield-hospital-kundalahalli
91,Medipoint Hospital,"Aundh, Pune",25,102,https://www.practo.com/pune/hospital/medipoint-hospital-aundh
92,Omega Hospital,"Banjara Hills, Hyderabad",25,150,https://www.practo.com/hyderabad/hospital/omega-hospital-s-banjara-hills-1
93,Global Hospital,"Lakdikapul, Hyderabad",25,100,https://www.practo.com/hyderabad/hospital/global-hospital-lakdikapul-1-lakdikapul
94,Sunshine Hospital,"Secunderabad, Hyderabad",24,450,https://www.practo.com/hyderabad/hospital/dr-sudheer-nadimpalli-hyderabad
95,Kauvery Hospitals,"Mylapore, Chennai",24,100,https://www.practo.com/chennai/hospital/kauvery-paediatric-cardiac-care-alwarpet
96,MITR Hospitals,"Sector 35, Noida",23,100,https://www.practo.com/noida/hospital/mitr-hospital-noida-sector-35-1-1
97,Felix Hospital,"Sector 137, Noida",23,150,https://www.practo.com/noida/hospital/felix-hospital-nh-01-sector-137-noida-greater-noida-expressway
98,Sanjeevan Hospital,"Karve Nagar, Pune",23,105,https://www.practo.com/pune/hospital/sanjeevan-hospital-karve-road
99,Omni Hospitals,"Kothapet, Hyderabad",23,250,https://www.practo.com/hyderabad/hospital/omni-hospital-dilsukh-nagar
100,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",23,100,https://www.practo.com/chennai/hospital/apollo-hospital-34
101,I-AIM Health Care,"Yelahanka, Bangalore",22,100,https://www.practo.com/bangalore/hospital/i-aim-health-care-yelahanka
102,Russh Super Specialty Hospital,"Suchitra Circle, Hyderabad",22,150,https://www.practo.com/hyderabad/hospital/russh-hospital-1-bowenpally
103,Seven Eleven Hospital,"Mira Road, Mumbai",22,150,https://www.practo.com/mumbai/hospital/seven-eleven-hospital-mira-road
104,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21,250,https://www.practo.com/delhi/hospital/dharamshila-hospital-and-research-centre-vasundhra-enclave
105,Pristine Hospital,"West Of Chord Road, Bangalore",21,100,https://www.practo.com/bangalore/hospital/pristine-hospital-west-of-chord-road
106,Sagar Hospital DSI,"Banashankari, Bangalore",21,400,https://www.practo.com/bangalore/hospital/sagar-hospital-banashankari
107,Amri Hospitals,"Salt Lake, Kolkata",21,210,https://www.practo.com/kolkata/hospital/amri-hospitals-salt-lake-salt-lake
108,Landmark Hospitals,"Nizampet, Hyderabad",21,100,https://www.practo.com/hyderabad/hospital/landmark-hospitals-kukatpally
109,Alpha Hospital,"Charminar, Hyderabad",21,120,https://www.practo.com/hyderabad/hospital/alpha-hospital-charminar
110,Prince Ali Khan Hospital,"Mazgaon, Mumbai",21,150,https://www.practo.com/mumbai/hospital/prince-aly-khan-hospital-mazgaon-2
111,Maharaja Agrasen Hospital,"Punjabi Bagh, Delhi",20,150,https://www.practo.com/delhi/hospital/maharaja-agrasen-hospital-punjabi-bagh-2
112,Vikram Hospital,"Millers Road, Bangalore",19,225,https://www.practo.com/bangalore/hospital/vikram-hospital-millers-road
113,Columbia Asia Hospital,"Yeshwanthpur, Bangalore",19,160,https://www.practo.com/bangalore/hospital/columbia-asia-referral-hospital-yeshwanthpur
114,Thatha Hospital,"Kapra, Hyderabad",19,100,https://www.practo.com/hyderabad/hospital/thatha-hospital-kapra
115,Apollo Gleneagles Hospitals,"Salt Lake, Kolkata",18,510,https://www.practo.com/kolkata/hospital/apollo-gleneagles-hospitals-salt-lake-1
116,MyCure Hospital - Jagdamba Junction,"Maharani Peta, Visakhapatnam",18,100,https://www.practo.com/visakhapatnam/hospital/manipal-hospital-visakhapatnam-maharanipeta
117,Kalra Hospital,"Kirti Nagar, Delhi",17,150,https://www.practo.com/delhi/hospital/kalra-hospitals-kirti-nagar
118,Pace Hospitals,"Begumpet, Hyderabad",17,100,https://www.practo.com/hyderabad/hospital/pace-hospitals-best-gastro-liver-kidney-centre-24x7-begumpet
119,Shalivahana Multi Speciality Hospital,"Dilsukhnagar, Hyderabad",17,100,https://www.practo.com/hyderabad/hospital/shalivahana-hospitality-dilsukh-nagar
120,Sai Sanjeevini Hospitals,"Kothapet, Hyderabad",17,120,https://www.practo.com/hyderabad/hospital/sai-sanjeevini-hospitals-kothapet
121,Prashanth Superspeciality Hospital,"Velachery, Chennai",17,100,https://www.practo.com/chennai/hospital/prashanth-super-speciality-hospital-velachery-1
122,Aakash Health Care,"Dwarka, Delhi",16,100,https://www.practo.com/delhi/hospital/aakash-health-care-dwarka
123,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",16,102,https://www.practo.com/delhi/hospital/rlkc-hospital-metro-heart-institute-pandav-nagar
124,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16,110,https://www.practo.com/bangalore/hospital/psychological-counseling-clinic-and-training-center-for-teens-and-adults-new-thippasandra
125,Surya Mother & Child Super Speciality Hospital,"Wakad, Pune",16,100,https://www.practo.com/pune/hospital/surya-mother-child-super-speciality-hospital-wakad
126,Columbia Asia Hospitals,"Salt Lake, Kolkata",16,100,https://www.practo.com/kolkata/hospital/gd-hospital-sealdah
127,Pace Hospital,"Hitech City, Hyderabad",16,100,https://www.practo.com/hyderabad/hospital/pace-hospitals-hitech-city-hitech-city
128,Lotus Hospital for Women and Childrens,"Lakdikapul, Hyderabad",16,150,https://www.practo.com/hyderabad/hospital/lotus-children-s-hospital-lakdikapul
129,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",16,500,https://www.practo.com/chennai/hospital/apollo-speciality-cancer-hospital
130,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",15,100,https://www.practo.com/delhi/hospital/jeevan-anmol-hospital-mayur-vihar-ph-i
131,NU Hospitals,"Rajajinagar, Bangalore",15,100,https://www.practo.com/bangalore/hospital/nu-hospitals-west-rajajinagar
132,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",15,100,https://www.practo.com/bangalore/hospital/p-d-hinduja-sindhi-hospital-sampangiramnagar
133,Fortis Hospital,"Bannerghatta Road, Bangalore",15,400,https://www.practo.com/bangalore/hospital/fortis-hospital-32-bannerghatta-road
134,AMRI Hospital,"Dhakuria, Kolkata",15,1000,https://www.practo.com/kolkata/hospital/amri-dhakuria
135,Aster Prime Hospitals,"Ameerpet, Hyderabad",15,250,https://www.practo.com/hyderabad/hospital/prime-hospitals-ameerpet-1
136,Premier Hospital,"Mehdipatnam, Hyderabad",15,105,https://www.practo.com/hyderabad/hospital/premier-hospital-mehdipatnam-1
137,Geetha Multi Speciality Hospital,"West Marredpally, Hyderabad",15,100,https://www.practo.com/hyderabad/hospital/geetha-multi-speciality-hospital-west-marredpally
138,K M Speciality & Pediatric Care,"KK Nagar, Chennai",15,100,https://www.practo.com/chennai/hospital/k-m-speciality-hospital-thiruvallur
139,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",15,360,https://www.practo.com/chennai/hospital/srm-institutes-for-medical-science-vadapalani
140,Vivekananda Polyclinic & Institute Of Medical Sciences,"Niralanagar, Lucknow",15,350,https://www.practo.com/lucknow/hospital/vivekananda-polyclinic-institute-of-medical-sciences-lucknow