EXEC_ID,HOSPITAL NAME,EXECUTIVE NAME,POSITION,AGE
379,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",r. k. gupta,Member,
380,Jivraj Mehta Smarak Health Foundation,r. l. vadi,,
381,Metro Hospital and Cancer Institute,r. loganathan,Head of Finance,
382,"Mata Chanan Devi Hospital, Janaki Pura, Delhi","r. n. rai, advocate",SecretaryView more,
383,Kailash Hospital,r. n. sharma,President,
383,Kailash Deepak Memorial Hospital,r. n. sharma,President,
384,"Jaipur Golden Hospital, Delhi",r. p. khanna,Trustee,
385,Sir Ganga Ram Hospital,r. sapra,"Principal, School of Nursing",
386,Sahyadri Speciality Hospital,r. sudumbarekar,CFO,
387,"Balaji Action Medical Institute, Delhi",r.c. chharia,General Secretary,
388,Sir Ganga Ram Hospital,radha gupta,Finance Controller,
389,"Apollo Hospital, Chennai",rafeeque ahamed,Member of the Board of Directors,69
389,"Apollo Hospitals, Hyderabad",rafeeque ahamed,Member of the Board of Directors,69
389,"Apollo Hospital, Bannerghatta Road, Bangalore",rafeeque ahamed,Member of the Board of Directors,69
390,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",rahul khosla,Chairman of the Board,
390,"Max Super Speciality Hospital, Saket, Delhi",rahul khosla,Chairman of the Board,
390,"Max Hospital, pitampura, Delhi",rahul khosla,Chairman of the Board,
391,"Balaji Action Medical Institute, Delhi",raj kumar gupta,President,
392,"Apollo Hospitals, Hyderabad",raj menon,Member of the Board of Directors,72
392,"Apollo Hospital, Chennai",raj menon,Member of the Board of Directors,72
392,"Apollo Hospital, Bannerghatta Road, Bangalore",raj menon,Member of the Board of Directors,72
393,Vikram Hospital,rajasekhara reddy,Director,
394,"Jaipur Golden Hospital, Delhi",rajeb khanna,Trustee,
395,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",rajeev gulati,Vice President,
396,Kailash Deepak Memorial Hospital,rajeev malhotra,HOD Neonatology,
396,Kailash Hospital,rajeev malhotra,HOD Neonatology,
397,MediHope Super Speciality Hospital,rajendra prasad agarwal,Director,
398,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",rajendrakumar premchand shah,Director,
399,Bombay Hospital & Medical Research Centre,rajesh choumal,Director - Admin (H.E & A.S),
400,"Billroth Hospitals, Chennai",rajesh jeganathan,Managing Director,
401,Amri Hospitals,rajesh pareek,Director,
401,AMRI Hospital,rajesh pareek,Wholetime Director,
402,Blk Super Speciality Hospital,rajesh thacker,Financial Controller - Accounts & Finance,
403,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",rajeswara rao gandu,Additional Director,
404,"Max Hospital, pitampura, Delhi",rajit mehta,"Chief Executive Officer, Managing Director and Director",
404,"Max Super Speciality Hospital, Saket, Delhi",rajit mehta,"Chief Executive Officer, Managing Director and Director",
404,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",rajit mehta,"Chief Executive Officer, Managing Director and Director",
404,"Max Smart Super Speciality Hospital, Saket, Delhi",rajit mehta,"Chief Executive Officer, Managing Director and Director",
405,Jivraj Mehta Smarak Health Foundation,rajivbhai mahendralal,,
406,Bombay Hospital & Medical Research Centre,rajkumar agarwal,Finance Controller,
407,Bombay Hospital & Medical Research Centre,rajkumar v. patil,Director - Medical Services,
408,"Venkateshwar Hospital, Dwarka Delhi",rajpal,Chairman,
409,"Jaipur Golden Hospital, Delhi",rajpal singh,Trustee,
410,Sims Hospital (Srm Institutes For Medical Science),raju sivasamy,Vice-President,
411,"Jaipur Golden Hospital, Delhi",rakesh bahri,Trustee,
412,Sir Ganga Ram Hospital,rakesh bansal,Senior Accounts Officer,
413,Kalra Hospital,ram narain kalra,Director,
414,NU Hospitals,ramachandra munisamappa,Director,
415,Jivraj Mehta Smarak Health Foundation,ramakantbhai jhabarmal,Hon. Secretary,
416,Omega Hospital,ramanath laxman kamath,Director,
417,Bombay Hospital & Medical Research Centre,ramesh bhattad,Director - PER. & HRD,
418,"Global Hospital,Chennai",ramesh krishnan,Chief Executive Officer,
418,"Continental Hospitals, Hyderabad",ramesh krishnan,Director,
419,Bangalore Institute of Gastroenterology,ramesh narayan reddy,Director,
420,Jivraj Mehta Smarak Health Foundation,rameshbhai m. patel,,
421,"Bhagwan Mahaveer Jain Hospital - Vasanthnagar, Bangalore",rameshchand sankhla,Joint Secretary,
422,Sir Ganga Ram Hospital,ramji kackar,Sr. Staff - Physician,
423,Felix Hospital,rashmi gupta,Chairman,
424,Tirath Ram Shah Hospital,rati sawhney,Trustee,
425,Jivraj Mehta Smarak Health Foundation,ratibhai d. kamdar,,
426,"Mallige Medical Centre, Bangalore",ravi marthanda varma,Director,
427,Sims Hospital (Srm Institutes For Medical Science),ravi pachamoothoo,CHAIRMAN,
428,Jivraj Mehta Smarak Health Foundation,ravindrabhai c. rasina,,
429,Global Hospital,ravindranath kancherla,Managing Director,
430,"Holy Spirit Hospital, Andheri East, Mumbai",reena,HR Director,
431,Sir Ganga Ram Hospital,reena kumar,Addl. Director Medical Services,
432,Madras Medical Mission Hospital,reji abraham,Vice-President,
433,Vikram Hospital,renuka ramnath,Chairperson & Director,
434,Kailash Deepak Memorial Hospital,ritu vohra,Dy Group Medical Director,
434,Kailash Hospital,ritu vohra,Dy Group Medical Director,
435,"Max Hospital, pitampura, Delhi",rohit kapoor,Chief Growth Officer and Senior Director,
435,"Max Super Speciality Hospital, Saket, Delhi",rohit kapoor,Chief Growth Officer and Senior Director,
435,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",rohit kapoor,Chief Growth Officer and Senior Director,
436,"Cloudnine Hospital, Chennai",rohit m. a.,,
437,Madras Medical Mission Hospital,ron v thomas,,
438,Sir Ganga Ram Hospital,ruby sahney,Dy. Medical Superintendent,
439,AMRI Hospital,rupak barua,Wholetime Director,
439,Amri Hospitals,rupak barua,Director,
440,"Apollo Hospitals, Hyderabad",rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,53
440,"Apollo Hospital, Bannerghatta Road, Bangalore",rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,53
440,"Apollo Hospital, Chennai",rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,53
441,"KIMS Hospital, Hyderabad",rushank rajendra vora,Nominee Director,
442,Kailash Deepak Memorial Hospital,s. k. agarwal,Sr. Cardiologist,
442,Kailash Hospital,s. k. agarwal,Sr. Cardiologist,
443,"Apollo Hospital, Chennai",s. k. venkataraman,Chief Strategy Officer,56
443,"Apollo Hospitals, Hyderabad",s. k. venkataraman,Chief Strategy Officer,56
443,"Apollo Hospital, Bannerghatta Road, Bangalore",s. k. venkataraman,Chief Strategy Officer,56
444,"Apollo Hospitals, Hyderabad",s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",47
444,"Apollo Hospital, Bannerghatta Road, Bangalore",s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",47
444,"Apollo Hospital, Chennai",s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",47
445,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",s. n. mahendru,Addl. Secretary,
446,Sir Ganga Ram Hospital,s. nundy,Member,
447,Felix Hospital,s. p. gaur,Director,
448,Masina Hospital,s. p. mistry,Chairman,
449,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",s. regunathan,Non Executive Director & Independent Director,
450,Sir Ganga Ram Hospital,s.k. bhandari,Member,
451,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",s.n. oberoi,Treasurer,
452,Sir Ganga Ram Hospital,s.p. byotra,Vice Chairman,
453,Sahyadri Speciality Hospital,sadanand bapat,Director,
454,"Sahyadri Hospitals, Deccan Gymkhana, Pune",sadanand dattatrey bapat,Director,
455,Bangalore Institute of Gastroenterology,sahadev ramaiah,Director,
456,Maharaja Agrasen Hospital,sahib chand singla,Member Control Board,
457,"Manipal Hospital, Vidyanagar, Jaipur",sameer agarwal,Director,
457,"Manipal Hospital, Bangalore",sameer agarwal,Director,
458,"Jaipur Golden Hospital, Delhi",sameer bahri,Trustee,
459,Kailash Hospital,sandhya jha,Group Head IT,
459,Kailash Deepak Memorial Hospital,sandhya jha,Group Head IT,
460,K M Speciality & Pediatric Care,sandip raghunath patil,Director,
461,"Apollo Hospitals, Hyderabad",sangita reddy,Joint Managing Director and Executive Director,54
461,"Apollo Hospitals, Hyderabad",sangita reddy,Joint Managing Director and Executive Director,54
461,"Apollo Hospital, Chennai",sangita reddy,Joint Managing Director and Executive Director,54
461,"Apollo Hospital, Bannerghatta Road, Bangalore",sangita reddy,Joint Managing Director and Executive Director,54
461,"Apollo Hospital, Bannerghatta Road, Bangalore",sangita reddy,Joint Managing Director and Executive Director,54
462,"Apollo Hospital, Chennai",sangita reddy m.d.,Joint Managing Director and Executive Director,54
463,"Sahyadri Hospitals, Deccan Gymkhana, Pune",sanjay khatau asher,Director,
464,"Apollo Hospital, Chennai",sanjay nayar,Member of the Board of Directors,56
464,"Apollo Hospitals, Hyderabad",sanjay nayar,Member of the Board of Directors,56
464,"Apollo Hospital, Bannerghatta Road, Bangalore",sanjay nayar,Member of the Board of Directors,56
465,"Sahyadri Hospitals, Deccan Gymkhana, Pune",sanjay sharad vaidya,Director,
466,Sahyadri Speciality Hospital,sanjay vaidya,Director,
467,Jivraj Mehta Smarak Health Foundation,sanjaybhai navnitbhai choksi,,
468,"Manipal Hospital, Bangalore",sanjeev bagai,Wholetime Director,
469,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",sanjeev sehrawat,Director,
470,Kalra Hospital,sanjita kalra,Director,
471,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",sanjiv marya,Vice Chairman and Chairman of Orthopadics,
471,"Max Hospital, pitampura, Delhi",sanjiv marya,Vice Chairman and Chairman of Orthopadics,
471,"Max Super Speciality Hospital, Saket, Delhi",sanjiv marya,Vice Chairman and Chairman of Orthopadics,
472,"Abhijay Hospital Pvt Ltd, Chennai",saravanan lakshmanan,Chairman & MD,
473,Kailash Hospital,sarika chandra,Dy Medical Supreintendent / CCMO,
473,Kailash Deepak Memorial Hospital,sarika chandra,Dy Medical Supreintendent / CCMO,
474,Maharaja Agrasen Hospital,satish agarwal,Vice-President (Bahadurgarh),
475,Maharaja Agrasen Hospital,satish jindal,Secretary (Trust),
476,"Jaipur Golden Hospital, Delhi",satish khanna,Trustee,
477,Kailash Deepak Memorial Hospital,satish mathew,HOD CTVS,
477,Kailash Hospital,satish mathew,HOD CTVS,
478,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",satnam arora,Non Executive Director & Independent Director,
479,Sir Ganga Ram Hospital,satnam singh chhabra,Member,
480,Bangalore Institute of Gastroenterology,satyanarayana divakara murthy,Director,
481,Jivraj Mehta Smarak Health Foundation,saurabhbhai navnitbhai shodhan,,
482,NU Hospitals,selva muthukumarasamy,Director,
483,"Venkateshwar Hospital, Dwarka Delhi",shabeena yusuffali,Director,
484,Blk Super Speciality Hospital,shailaja chandra,Director,
485,Sir Ganga Ram Hospital,shalini chawla,Asst. Medical Superintendent,
486,"Venkateshwar Hospital, Dwarka Delhi",shamsheer vayalil parambath,Managing Director,
487,Sir Ganga Ram Hospital,shankar acharya,Member,
488,Maharaja Agrasen Hospital,shankar das bansal,Vice-President (Trust),
489,"Bhagwan Mahaveer Jain Hospital - Vasanthnagar, Bangalore",shantilal gadia,Vice President,
490,Kailash Deepak Memorial Hospital,shashi khanna,AGM (PRO),
490,Kailash Hospital,shashi khanna,AGM (PRO),
491,Felix Hospital,shilpi gupta,Director,
492,I-AIM Health Care,shishir lal,Director,
493,Sir Ganga Ram Hospital,shiv ram,Vice Chairman,
494,"Fortis Hospital, Mulund West, Mumbai",shivinder mohan singh,"Non Executive Vice Chairman, Fortis Healthcare Limited",
494,"Fortis Escorts, Okhla, Delhi",shivinder mohan singh,"Non Executive Vice Chairman, Fortis Healthcare Limited",
494,"Fortis Malar Hospital, Adyar, Chennai",shivinder mohan singh,"Non Executive Vice Chairman, Fortis Healthcare Limited",
494,"S L Raheja Fortis Hospital, Mumbai",shivinder mohan singh,"Non Executive Vice Chairman, Fortis Healthcare Limited",
494,"Fortis Hospital, Vasant Kunj, Delhi",shivinder mohan singh,"Non Executive Vice Chairman, Fortis Healthcare Limited",
494,"Fortis Hospital, Shalimar Bagh, Delhi",shivinder mohan singh,"Non Executive Vice Chairman, Fortis Healthcare Limited",
495,Medipoint Hospital,shivram dikshitulu bhonagiri,Director,
496,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",shobana kamineni,Non Executive Director,
497,"Apollo Hospital, Bannerghatta Road, Bangalore",shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,56
497,"Apollo Hospitals, Hyderabad",shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,56
497,"Apollo Hospital, Chennai",shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,56
497,"Apollo Hospital, Bannerghatta Road, Bangalore",shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,56
497,"Apollo Hospitals, Hyderabad",shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,56
497,"Apollo Hospital, Chennai",shobana kamineni,Executive Vice Chairperson and Executive Director of Special Initiatives,56
498,"Sir H.N. Reliance Foundation Hospital & Research Centre, Mumbai",shrabani basu,Head of Human Resources,
499,"Fortis Escorts, Okhla, Delhi",shradha suri marwah,,
499,"Fortis Hospital, Mulund West, Mumbai",shradha suri marwah,,
499,"Fortis Malar Hospital, Adyar, Chennai",shradha suri marwah,,
499,"Fortis Hospital, Vasant Kunj, Delhi",shradha suri marwah,,
499,"Fortis Hospital, Shalimar Bagh, Delhi",shradha suri marwah,,
499,"S L Raheja Fortis Hospital, Mumbai",shradha suri marwah,,
500,I-AIM Health Care,shri. darshan shankar,Director,
501,"Holy Spirit Hospital, Andheri East, Mumbai",shruti,Finance Director,
502,Bombay Hospital & Medical Research Centre,shyam malpani,Dy. Hon Secretary,
503,"Noble Hospital, Hadapsur, Pune",sidram kerappa raut,Director,
504,"Apollo Hospital, Bannerghatta Road, Bangalore",sindoori reddy,Vice President of Operations,--
504,"Apollo Hospitals, Hyderabad",sindoori reddy,Vice President of Operations,--
505,Tirath Ram Shah Hospital,sita nanda,Trustee,
506,Jeevan Anmol Hospital,sitaram sakharam washimkar,Director,
507,"Hindu Mission Hospital, Chennai",smt nandhini krishnaswamy,Member,
508,"Holy Spirit Hospital, Andheri East, Mumbai",sneha,Executive Director,
509,"Mallige Medical Centre, Bangalore",som parkash jhingon,Director,
510,Medipoint Hospital,sreenath pocha reddy,Director,
511,"Hindu Mission Hospital, Chennai",srinivasan k swamy,President,
512,"Jaipur Golden Hospital, Delhi",subhash bahri,Trustee,
513,"Balaji Action Medical Institute, Delhi",subhash chandra agarwal,Member,
514,Maharaja Agrasen Hospital,subhash gupta,Sr. Vice President (Trust),
515,Omega Hospital,subrahmanya padiappu bhat,Director,
516,Sir Ganga Ram Hospital,suchita katoch,Jt. Medical Superintendent,
517,Sir Ganga Ram Hospital,sudhakar vira,Sr. Medical Administrative Officer,
518,"Hindustan Health Point, Kolkata",sudhanshu sethia,Director,
519,Sir Ganga Ram Hospital,sudhir chadha,Member,
520,Vikram Hospital,sudhir variyar,Director,
521,Jivraj Mehta Smarak Health Foundation,sudhirbhai uttambhai mehta,,
522,Sir Ganga Ram Hospital,sujata sharma,Member,
522,Sir Ganga Ram Hospital,sujata sharma,Honorary Secretary,
523,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",suman reheja,Member,
524,Sir Ganga Ram Hospital,sumit ray,Member,
525,Maharaja Agrasen Hospital,sundar lal goyal,Treasurer,
526,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",suneeta reddy,Non Executive Director,
527,"Apollo Hospitals, Hyderabad",suneeta reddy,Managing Director and Executive Director,57
527,"Apollo Hospital, Bannerghatta Road, Bangalore",suneeta reddy,Managing Director and Executive Director,57
527,"Apollo Hospitals, Hyderabad",suneeta reddy,Managing Director and Executive Director,57
527,"Apollo Hospital, Chennai",suneeta reddy,Managing Director and Executive Director,57
527,"Apollo Hospital, Chennai",suneeta reddy,Managing Director and Executive Director,57
527,"Apollo Hospital, Bannerghatta Road, Bangalore",suneeta reddy,Managing Director and Executive Director,57
528,"Fortis Hospital, Vasant Kunj, Delhi",sunil godhwani,Director,
528,"S L Raheja Fortis Hospital, Mumbai",sunil godhwani,Director,
528,"Fortis Hospital, Mulund West, Mumbai",sunil godhwani,Director,
528,"Fortis Escorts, Okhla, Delhi",sunil godhwani,Director,
528,"Fortis Malar Hospital, Adyar, Chennai",sunil godhwani,Director,
528,"Fortis Hospital, Shalimar Bagh, Delhi",sunil godhwani,Director,
529,Sir Ganga Ram Hospital,sunil jain,Member,
530,Primus Super Speciality Hospital,sunil kumar singh,Managing Drector,
531,Kailash Hospital,sunil verma,HOD & Consultant,
531,Kailash Deepak Memorial Hospital,sunil verma,HOD & Consultant,
532,Jeevan Anmol Hospital,sunilkumar haribhau lad,Director,
533,Sir Ganga Ram Hospital,sunita sunda,Jt. Medical Superintendent,
534,"KIMS Hospital, Hyderabad",surapaneni sunand,Director,
535,Omega Hospital,surendra kumbla,Director,
536,Masina Hospital,suresh mohite,Director - Human Resource,
537,Omega Hospital,suresh surathkal,Director,
537,Omega Hospital,suresh surathkal,Director,
538,Tirath Ram Shah Hospital,suresh taneja,Trustee,
539,"Noble Hospital, Hadapsur, Pune",suresh vitthal shikhare,Director,
540,Jivraj Mehta Smarak Health Foundation,sureshbhai chimanlal shah,,
541,"Cloudnine Hospital, Chennai",surinder dang,Regional Director,
542,"Jaipur Golden Hospital, Delhi",surinder malhotra,Trustee,
543,Jivraj Mehta Smarak Health Foundation,suryakantbhai parshottamdas mehta,,
544,Madras Medical Mission Hospital,susan thomas,,
545,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",susheel kr. trehan,Member,
546,Maharaja Agrasen Hospital,sushil gupta,President,
547,Maharaja Agrasen Hospital,sushil singla,Member Control Board,
548,K M Speciality & Pediatric Care,sushil tanajirao savant,Director,
549,"Jaipur Golden Hospital, Delhi",sushma khanna,Trustee,
550,MediHope Super Speciality Hospital,sveta ashok mittal,Director,
551,"Aditya Hospital, Uppal, Hyderabad",t satish kumar,MANAGING DIRECTOR,
552,"Aditya Hospital, Uppal, Hyderabad",t vinayender,DIRECTOR,
553,P D Hinduja Sindhi Hospital,t. chandrasekhar,Director,
554,"Apollo Hospital, Bannerghatta Road, Bangalore",t. rajgopal,Member of the Board of Directors,
554,"Apollo Hospital, Chennai",t. rajgopal,Member of the Board of Directors,
554,"Apollo Hospitals, Hyderabad",t. rajgopal,Member of the Board of Directors,
555,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",t. s. narayanasami,Non Executive Director & Independent Director,
556,"Kamakshi Memorial Hospital, Chennai",t.g. govindarajan,Managing Director,
557,"Kamakshi Memorial Hospital, Chennai",t.g. sivaanjani,Director,
558,Madras Medical Mission Hospital,t.j. george,,
559,"Mallige Medical Centre, Bangalore",talkalkoppa shirelege ravindra,Director,
560,"Continental Hospitals, Hyderabad",tan see leng,Director,
561,Tirath Ram Shah Hospital,tarun sawhney,Trustee,
562,Bangalore Institute of Gastroenterology,tejeswishashidhar gutti,Director,
563,"Billroth Hospitals, Chennai",thomas aseervatham,Director,
564,Ruby Hall Clinic,thomas perumal jacob,Director,
565,"Continental Hospitals, Hyderabad",thota gurunath reddy,Director,
566,"Continental Hospitals, Hyderabad",thota raghunath reddy,Director,
567,St John Medical College and Hospital,titto john,Managing Drector,
568,"Columbia Asia Hospital, Whitefield, Bangalore",tufan ghosh,Director,
568,Columbia Asia Hospital,tufan ghosh,Director,
568,Columbia Asia Hospitals,tufan ghosh,Director,
569,Kailash Deepak Memorial Hospital,uma sharma,Chairperson,
569,Kailash Hospital,uma sharma,Chairperson,
570,"Jaipur Golden Hospital, Delhi",urmil r. khanna,Trustee,
571,Sir Ganga Ram Hospital,usha pandey,Chief Nursing Officer,
572,"Hindu Mission Hospital, Chennai",v lakshmi kumaran,Vice President,
573,"Hindu Mission Hospital, Chennai",v srinivasan,Member,
574,"Jaipur Golden Hospital, Delhi",v. l. bahri,Director,
575,"Apollo Hospital, Bannerghatta Road, Bangalore",v. satyanarayana reddy,Chief Executive Officer of Chennai Division,55
575,"Apollo Hospital, Chennai",v. satyanarayana reddy,Chief Executive Officer of Chennai Division,55
575,"Apollo Hospitals, Hyderabad",v. satyanarayana reddy,Chief Executive Officer of Chennai Division,55
576,K M Speciality & Pediatric Care,vaibhavkumar bhagavantrao chavan,Director,
577,Sir Ganga Ram Hospital,varun kapur,Dy. Manager (Admin),
578,"Jaipur Golden Hospital, Delhi",varun khanna,Trustee,
579,Sir Ganga Ram Hospital,varun prakash,Dy. Medical Superintendent,
580,"Continental Hospitals, Hyderabad",vasu reddy,Director,
581,Jivraj Mehta Smarak Health Foundation,vatsalbhai parikh,,
582,"Jaipur Golden Hospital, Delhi",veena bahri,Trustee,
583,NU Hospitals,venkatesh krishnamoorthy,Wholetime Director,
584,Madras Medical Mission Hospital,verghese eapen,,
585,"Cloudnine Hospital, Chennai",vidya kumar,Director,
586,Sir Ganga Ram Hospital,vijay arora,Member,
587,Kailash Hospital,vijay ganju,Medical Superintendent,
587,Kailash Deepak Memorial Hospital,vijay ganju,Medical Superintendent,
588,Kailash Hospital,vijay narain,Group Director Eng. & Projects,
588,Kailash Deepak Memorial Hospital,vijay narain,Group Director Eng. & Projects,
589,Sir Ganga Ram Hospital,vijay ram,Member,
590,I-AIM Health Care,vijayakumar,Director,
591,Sims Hospital (Srm Institutes For Medical Science),vijaykumar chockkan,DIRECTOR MEDICAL SERVICES,
592,"Jaipur Golden Hospital, Delhi",vikram bahri,Trustee,
593,Medipoint Hospital,vikram singh beniwal,Director,
594,"Mallige Medical Centre, Bangalore",vikram sreeram,Wholetime Director,
595,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",vinayak chatterjee,Non Executive Director & Independent Direct,
596,"Apollo Hospitals, Hyderabad",vinayak chatterjee,Member of the Board of Directors,56
596,"Apollo Hospital, Chennai",vinayak chatterjee,Member of the Board of Directors,56
596,"Apollo Hospital, Bannerghatta Road, Bangalore",vinayak chatterjee,Member of the Board of Directors,56
597,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",vineeta rai,Non Executive Director,
598,Sir Ganga Ram Hospital,vinita chopra,Honorary Jt. Secretary,
598,Sir Ganga Ram Hospital,vinita chopra,Member,
599,Maharaja Agrasen Hospital,vinod bansal,Vice-President,
600,Jaslok Hospital,vinod chanrai,Trustee,
601,"Jaipur Golden Hospital, Delhi",vinod khanna,Trustee,
602,Maharaja Agrasen Hospital,vinod kumar gupta,Member Control Board,
603,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",vinod kumar handa,Member,
604,"Jaipur Golden Hospital, Delhi",vipin khanna,Trustee,
605,Jivraj Mehta Smarak Health Foundation,vipinbhai shantilal parikh,Managing Trustee,
606,I-AIM Health Care,vishu hegde,Director,
607,Masina Hospital,vispi jokhi,Medical Director,
608,Medipoint Hospital,wilson,Director,
609,"Venkateshwar Hospital, Dwarka Delhi",y. p. bhatia,Chairman,
610,"Balaji Action Medical Institute, Delhi",y.p. bhatia,Member,
611,Metro Multispeciality Hospital,yedla ramesh naidu,Director,
611,RLKC Hospital & Metro Heart Institute,yedla ramesh naidu,Director,
612,K M Speciality & Pediatric Care,yogesh pralhad nikam,Director,
613,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",yogesh sareen,Chief Financial Officer and Senior Director,
613,"Max Super Speciality Hospital, Saket, Delhi",yogesh sareen,Chief Financial Officer and Senior Director,
613,"Max Hospital, pitampura, Delhi",yogesh sareen,Chief Financial Officer and Senior Director,
614,Primus Super Speciality Hospital,arindam saha,Director,